id,subjectname,associatedcoursecodes
739,Cavitation and interface phenomena,ME-462
740,Advanced heat transfer,ME-465
741,Instability,ME-466
742,Turbulence,ME-467
743,Computational Solid and Structural Dynamics,ME-473
744,Numerical flow simulation,ME-474
745,Multi-body simulation,ME-475
746,Particle-based methods,ME-476
747,Biomechanics of the musculoskeletal system,ME-482
748,Numerical methods in biomechanics,ME-484
749,Lifecycle performance of product systems,ME-516
750,Nonlinear Control Systems,ME-523
751,Advanced control systems,ME-524
752,Engines and fuel cells,ME-551
753,Corporate strategy,MGT-400
754,Strategic marketing & technology commercialization,MGT-401
755,Economics of innovation in the biomedical industry,MGT-403
756,Principles of intellectual property management,MGT-404
757,Economics of innovation & management in energy,MGT-407
758,Technology policy and the energy transition,MGT-408
759,"D. Thinking: real problems, human-focused solutions",MGT-409
760,Applied corporate & industry analysis,MGT-410
761,Innovation management,MGT-411
762,Organizational behavior,MGT-412
763,Network analytics,MGT-416
764,Value chain management in practice,MGT-417
765,Logistics and demand analysis,MGT-426
766,Project management and risk analysis,MGT-427
767,Quantitative systems modeling techniques,MGT-430
768,Information: strategy & economics,MGT-431
769,Data science for business,MGT-432
770,Environmental policy,MGT-433
771,Information technology and digital strategy,MGT-439
772,"Industry dynamics, models & trends",MGT-453
773,Principles of microeconomics,MGT-454
774,Practical business law,MGT-455
775,Negotiation techniques,MGT-466
776,Leading and managing in a global context,MGT-468
777,Financial & managerial accounting,MGT-481
778,Principles of finance,MGT-482
779,Optimal decision making,MGT-483
780,Applied probability & stochastic processes,MGT-484
781,Entrepreneurship laboratory (e-lab),MGT-517
782,Supply chain management,MGT-526
783,Operations: economics & strategy,MGT-528
784,Corporate governance,MGT-552
785,Introduction to econometrics,MGT-581
786,Qualitative Research Methods,MGT-603
787,"Technology and Public Policy - (a) Science, technology and society",MGT-641
788,Innosuisse Business Concept,MGT-642
789,Computational Methods for Doctoral Research in Management,MGT-644
790,Field Research Project A,MGT-690
791,Product lifecycle management - concepts methods and tools,MGT-707
792,Mechanism Design I,MICRO-200
793,Mechanism Design II,MICRO-201
794,Microcontrollers,MICRO-210
795,Electromechanics conversion I,MICRO-213
796,Chemistry of surfaces,MICRO-270
797,Semiconductor Devices,MICRO-312
798,Electromechanics conversion II,MICRO-313
799,"Electromechanics conversion, Laboratory Work",MICRO-314
800,Microinformatics,MICRO-315
801,Optical engineering I,MICRO-321
802,Optical engineering II,MICRO-322
803,Sensors,MICRO-330
804,Machine learning programming,MICRO-401
805,Products design & systems engineering,MICRO-406
806,Selected topics in advanced optics,MICRO-420
807,Image optics,MICRO-421
808,Optics laboratories I,MICRO-423
809,Optics laboratories II,MICRO-424
810,Microelectronics,MICRO-432
811,Conceptual design of products and systems,MICRO-443
812,Basics of robotics,MICRO-450
813,Industrial and applied robotics,MICRO-451
814,Applied machine learning,MICRO-455
815,Fab/sim practicals,MICRO-501
816,Nano/Advanced MEMS practicals,MICRO-503
817,Photonic micro- and nanosystems,MICRO-504
818,Printed systems and large area manufacturing,MICRO-505
819,Actuator control by way of a microprocessor,MICRO-510
820,Signal processing for functional brain imaging,MICRO-513
821,Flexible bioelectronics,MICRO-514
822,Laser microprocessing,MICRO-520
823,Optical detectors,MICRO-523
824,Nanotechnology,MICRO-530
825,Advanced MEMS,MICRO-534
826,BioMEMS,MICRO-560
827,Biomicroscopy I,MICRO-561
828,Biomicroscopy II,MICRO-562
829,Large-area electronics: devices and materials,MICRO-566
830,Seminar in physiology and instrumentation,MICRO-568
831,Advanced machine learning,MICRO-570
832,Micro-magnetic field sensors and actuators,MICRO-602
833,Optical MEMS and micro-optics,MICRO-605
834,Scaling in MEMS,MICRO-606
835,Nanoscale MOSFETs and beyond CMOS devices,MICRO-611
836,Electrochemical nano-bio-sensing and bio/CMOS interfaces,MICRO-614
837,Reliability of MEMS (EDOC),MICRO-615
838,Energy Autonomous Wireless Smart Systems,MICRO-617
839,MOOC: Micro and Nanofabrication (MEMS),MICRO-621
840,Modelling micro-/nano- field effect electron devices,MICRO-623
841,Wearables and implantables for personalized and preventive healthcare,MICRO-624
842,Advanced analog IC design,MICRO-700
843,IC design for robustness,MICRO-704
844,Low-voltage analog CMOS IC design,MICRO-705
845,Microfluidics for lab-on-a-chip,MICRO-706
846,Power management,MICRO-709
847,PLLs and clock & data recovery,MICRO-710
848,RF MEMS for communications applications,MICRO-711
849,Theoretical Microfluidics,MICRO-718
850,Techniques for Handling Noise and Variability in Analog Circuits,MICRO-720
851,Advanced micro- and nanomanufacturing: top-down meets bottom-up,MICRO-721
852,Cristallography and diffraction methods,MSE-202
853,Continuum mechanics,MSE-203
854,Materials mechanics,MSE-205
855,Materials for microengineering : metals,MSE-207
856,Materials for microengineering : polymers and ceramics,MSE-208
857,Transfer phenomena in materials science,MSE-209
858,Functional properties of materials,MSE-210
859,Organic chemistry,MSE-211
860,"Ceramics, structures and properties + TP",MSE-231
861,Materials II,MSE-270
862,Materials II + Laboratory Work,MSE-271
863,Deformation of materials,MSE-310
864,Corrosion and protection of metals + Laboratory Work,MSE-311
865,Building materials + Laboratory work,MSE-322
866,Ceramic and colloidal processing + Laboratory work,MSE-326
867,Polymer composites + Laboratory Work,MSE-340
868,Surface analysis,MSE-351
869,Cementitious materials (advanced),MSE-420
870,Advanced metallurgy,MSE-422
871,Soft matter,MSE-425
872,Physical chemistry of polymeric materials,MSE-431
873,Introduction to magnetic materials in modern technologies,MSE-432
874,Polymer chemistry and macromolecular engineering,MSE-437
875,Composites technology,MSE-440
876,Electrochemistry for materials technology,MSE-441
877,Introduction to crystal growth by epitaxy,MSE-442
878,"Modelling problem solving, computing and visualisation I",MSE-443
879,Polymer morphological characterization techniques,MSE-451
880,Micro and nanostructuration of materials,MSE-461
881,Powder technology,MSE-462
882,Assembly techniques,MSE-464
883,Thin film fabrication processes,MSE-465
884,"Wood structures, properties and uses",MSE-466
885,Biomaterials (pour MX),MSE-471
886,Materials selection,MSE-474
887,Dielectric properties of materials,MSE-480
888,Properties of semiconductors and related nanostructures,MSE-484
889,Tribology,MSE-485
890,"Organic electronic materials - synthesis, applications, properties",MSE-486
891,Effects of radiation on materials,MSE-600
892,Non-destructive evaluation methods,MSE-610
893,"Piezoelectric materials, properties and devices",MSE-611
894,Nanofabrication with focused electron and ion beams,MSE-619
895,Design and analysis of experiments in materials science and engineering,MSE-629
896,CCMX Winter School - Nanoparticles: From Fundamentals to Applications in Life Sciences,MSE-632
897,Scanning and Analytical Transmission Electron Microscopy,MSE-635
898,Scanning electron microscopy techniques (a),MSE-636
899,Transmission electron microscopy and diffraction (a),MSE-637
900,Electron Microscopy for Life Science,MSE-638
901,Statistical methods in atomistic computer simulations,MSE-639
902,Methods of Modelling and Simulation of Materials Science,MSE-641
903,Optical Materials: Fundamental concepts and recent developments,MSE-643
904,Crystal growth by epitaxy,MSE-649
905,Crystallography of structural phase transformations,MSE-651
906,CCMX Advanced Course - Inorganic Particle Synthesis by Precipitation: From Nanoparticles to Self-organised  Mesocrystals and from Theory to Practice,MSE-653
907,"CCMX Advanced Course - Combining Structural & Analytical Investigations of Matter at the Micro-, Nano and Atomic Scale- (2016)",MSE-655
908,CCMX Advanced Course - Instrumented Nanoindentation,MSE-656
909,CCMX Winter School - Additive Manufacturing of Metals and the Material Science Behind It,MSE-657
910,Electrochemistry in Corrosion Research,MSE-658
911,CCMX Advanced Course - Additive Manufacturing of Polymeric Materials - 3D Camp,MSE-661
912,Laser Materials Processing,MSE-662
913,Powder Diffraction School - Modern Syncrotron Methods,MSE-663
914,3D Electron Microscopy and FIB-Nanotomography,MSE-704
915,Powder Characterisation and Dispersion,MSE-709
916,Modeling of advanced composites: processing and mechanical properties,MSE-710
917,CCMX Advanced Course - From Additive Manufacturing to Field-assisted Sintering,MSE-713
918,CCMX Summer School - Characterisation of Materials (2017),MSE-805
919,La maîtrise du sol en droit suisse,PENS-200
920,"Diagnostics ENAC, approaches and measurement tools",PENS-203
921,"Water, source of the territory",PENS-205
922,Setting up construction projects,PENS-206
923,Architectural survey for territories,PENS-208
924,Renewable energy and solar architecture in Davos,PENS-210
925,Seconde main constructive,PENS-212
926,Green highways in residential area,PENS-213
927,Our common soil,PENS-214
928,Solar Decathlon,PENS-215
929,"Chantier urbain:perception, gouvernance, usages",PENS-216
930,To the digital readingto at the extent of change,PENS-303
931,Living in Mars,PENS-304
932,Urban planning in the South,PENS-307
933,Argamassa armada in Salvador de Bahia,PENS-308
934,"Urban neighborhoods, infrastructures and sustainable development",PENS-309
935,ATLAS POLIPHILO,PENS-314
936,SKIL Student Kreativity and Innovation Laboratory,PENS-315
937,ENAC project,PENS-490
938,General physics I,PHYS-101
939,General physics II,PHYS-106
940,Physics lab IIa,PHYS-204
941,Physics lab IIb,PHYS-211
942,Biophysics II,PHYS-302
943,Physics of materials,PHYS-307
944,Nuclear and particle physics I,PHYS-311
945,Nuclear and particle physics II,PHYS-312
946,Quantum physics I,PHYS-313
947,Quantum physics II,PHYS-314
948,Physics lab IIIb,PHYS-320
949,Astrophysics II,PHYS-323
950,Fonctional analysis (for PH),PHYS-331
951,Building physics V,PHYS-335
952,Building physics VI,PHYS-336
953,Physics lab IVa,PHYS-421
954,Physics lab IVb,PHYS-422
955,Quantum physics IV,PHYS-426
956,Relativity and cosmology II,PHYS-428
957,Statistical physics IV,PHYS-436
958,Design of experiments,PHYS-442
959,Radiation detection,PHYS-452
960,Introduction to medical radiation physics,PHYS-455
961,Engineering internship (master in Physics Engineering),PHYS-596
962,Master project in Physics Engineering,PHYS-599
963,"Frederic Joliot/Otto Hahn Summer School on nuclear reactors Physics, fuels and systems",PHYS-600
964,Nanophotonics and plasmonics,PHYS-602
965,Photonic crystals,PHYS-605
966,Nonlinear fibre optics,PHYS-607
967,Modern photovoltaic technologies,PHYS-609
968,Optics and technology of liquid crystal displays,PHYS-611
969,Principles and Practicals in X-Ray Scattering,PHYS-622
970,Magnetic and semiconducting nanostructures,PHYS-627
971,Advanced experimental methods in condensed matter and nanophysics,PHYS-630
972,Fundamentals of superresolution optical microscopy and Scanning Probe Microscopy,PHYS-631
973,Semiconductor photonics and quantum structures,PHYS-635
974,General aspects of the electronic structure of crystals,PHYS-636
975,Advanced quantum field theory,PHYS-702
976,Advanced biomedical imaging methods and instrumentation,PHYS-719
977,Introduction to Frustrated Magnetism,PHYS-726
978,Cosmology: Dark and Luminous Matters,PHYS-730
979,Plasma Diagnostics in Basic Plasma Physics Devices and Tokamaks: from Principles to Practice,PHYS-732
980,Control and Operation of Tokamaks (Tokamak Plasma Control),PHYS-734
981,Conformal Field theory and Gravity,PHYS-739
982,Gauge Theories and the Standard Model,PHYS-741
983,Parallel programming,PHYS-743
984,Advanced Topics in Quantum Sciences and Technologies,PHYS-744
985,Mathematics 1B (for MAN),PREPA-31
986,Mathematics 2A (for MAN),PREPA-32
987,Chemistry Laboratory,UNIL-128
